automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,xte_mean
none,none,-1,1.3302544808343328,both_give_way,8.673943906451635,1055.3570847097749,105,10.0,0,1,close_quarters,36.66,2347.6502971023897,8,head_on,48,40.07788034136007,5.1661642161718415,0.3795025898518684,1,6.670855143712825,135,432.9147792633352,1172.2971251531123,7004.397900898466,5824.386688392792,5824.386688392792,0.0625,0.4714285714285714,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,105,8,0,0,0,0,5.4915660267074795,attack,passed,0.04374999999999999,67.24461444963104,242.57358892680162
none,none,-1,0.37776039255504656,both_give_way,,5615.775859206427,146,10.0,1,0,safe_passage,31.13,2080.76489757188,-1,none,182,34.88438527784537,7.121315208778111,0.24204675800667996,0,7.9853083150425785,71,298.1582970984874,1761.2242076369266,11658.550139962164,5858.287109955366,5858.287109955366,0.1206896551724138,0.6917808219178082,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,146,0,0,0,0,0,6.621146853791457,attack,passed,0.06758620689655172,154.2635286970292,1458.1847531233075
none,none,-1,0.6330770688073244,both_give_way,,5928.494564232219,121,10.0,2,0,safe_passage,32.33,3535.718794498194,-1,none,13,54.052187704899,7.17775656692883,0.06667375859699165,0,9.677838377312588,195,215.25521400207433,3354.7582690972245,11710.18443654823,5856.995727617903,5856.995727617903,0.020833333333333332,0.13636363636363635,head_on,176.47612693662637,-0.13317516015479083,-2.596993480134381,10.904120049463163,21.64088350639253,-129.47168535847462,121,0,0,0,0,0,7.789725271631234,attack,passed,0.014583333333333334,143.95775806921344,1746.3308126212487
none,none,85,0.9700122837974959,give_way,-13.90856854046696,2172.8115042647582,85,10.0,0,2,domain_infringement,66.17,724.8124029643193,4,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.5969750013861582,2,7.207881540328252,135,25.226430714564145,630.6895926255851,6126.699309279014,5535.141435996585,5824.386688392792,0.05952380952380952,0.5117647058823529,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,85,46,2,0,1,0,5.4915660267074795,attack,domain_violation,0.024999999999999994,155.20134179061802,1176.0862711189882
none,none,-1,0.21823629908649309,give_way,-74.72456893869895,6263.398026229383,95,10.0,1,1,close_quarters,48.03,4747.860527831406,14,crossing_starboard,182,34.88438527784537,7.121315208778111,0.02171185294565161,1,7.880756322723206,71,19.545143673885274,4647.343130132002,7486.718506587046,3251.1637923602007,5858.287109955366,0.047872340425531915,0.8842105263157894,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,95,1,0,0,0,0,6.621146853791457,attack,passed,0.02234042553191489,34.50274599294571,2668.5572317983047
none,none,-1,0.09635683480255466,give_way,-62.09241462401324,4013.2101603860187,105,10.0,2,1,close_quarters,51.17,2163.861494383762,14,crossing_starboard,13,54.052187704899,7.17775656692883,0.19400270020584565,1,8.354433487615834,195,4.0144953644387344,1975.6424636978065,8772.155161996627,5856.995727617903,5856.995727617903,0.11057692307692307,0.8285714285714286,crossing_starboard,72.38063468313182,-0.13317516015479083,-60.39729842407342,6.58947728002596,21.64088350639253,126.43282238803081,105,7,0,0,0,0,7.789725271631234,attack,passed,0.06057692307692307,90.43938451758144,2272.7756966618504
none,none,-1,0.4038455329579165,stand_on,40.2266979242864,2737.314336310729,71,10.0,0,1,close_quarters,29.8,2123.457393455414,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.27282121695265377,1,6.116774223422358,135,533.1394108198195,1603.8604713628356,4342.909698629875,3795.6873777928813,5824.386688392792,0.04285714285714286,0.44366197183098594,crossing_port,-60.251874068072,-0.2527646797428006,54.29551728410556,2.5992293478995268,17.13347722920078,-20.173993726711917,71,18,0,0,0,0,5.4915660267074795,attack,passed,0.06999999999999999,11.118309011941202,590.006864682348
none,none,-1,0.17430649733896644,stand_on,,5326.3209207808795,108,10.0,1,0,safe_passage,19.27,3119.2572682836962,-1,none,182,34.88438527784537,7.121315208778111,0.08782503235314451,0,10.2812679529737,71,514.4500715087677,2941.6300301337105,11103.769389211595,5858.287109955366,5858.287109955366,0.02336448598130841,0.032407407407407406,crossing_port,-113.67685921509747,-0.2972222140029685,29.21292869368978,8.422560229739513,23.48596576538746,-78.79247393725211,108,0,0,0,0,0,6.621146853791457,attack,passed,0.029439252336448594,105.495716918839,1267.2394525125285
none,none,-1,0.3590149600676796,stand_on,,6802.645382575413,117,10.0,2,0,safe_passage,42.54,2015.1635443267173,-1,none,13,54.052187704899,7.17775656692883,0.20088076329822974,0,10.310179130804197,195,19.177740133931184,1914.002057947501,12062.909583040911,5856.995727617903,5856.995727617903,0.1206896551724138,0.08974358974358974,crossing_port,-107.61936531686818,-0.13317516015479083,38.73804408996887,8.730195283861825,21.64088350639253,-53.567177611969186,117,0,0,0,0,0,7.789725271631234,attack,passed,0.08448275862068963,128.14969275180795,2341.8417485116943
none,none,-1,0.11718753608624866,give_way,-48.852920498952855,3616.001277174929,42,10.0,0,1,close_quarters,46.78,3017.6586688381176,2,overtaking,48,40.07788034136007,8.928356092645075,0.08482510466727479,1,9.017696473235903,135,68.10157222108805,2906.7092673738366,3787.4325187590794,2805.7201380714564,5824.386688392792,0.2804878048780488,0.8690476190476191,overtaking,14.874062965964004,-0.2527646797428006,-17.294024807300552,2.390271168731141,13.849013598640674,54.951943307324086,42,8,0,0,0,0,4.451103264139253,attack,passed,0.051219512195121955,-4.389450418185514,777.7782814305982
none,none,-1,0.2301036141150689,give_way,,1732.962801744747,62,10.0,1,0,safe_passage,40.02,3782.747785210788,-1,none,182,34.88438527784537,9.76627794661919,0.04591618813692624,0,8.74457088346364,71,20.789714460875253,3725.371751903381,5421.633947747457,4975.016347211805,5858.287109955366,0.1557377049180328,0.8387096774193549,overtaking,-11.838429607548731,-0.2972222140029685,6.61619030528383,3.0497662404866,19.354503663335798,23.045955670296635,62,0,0,0,0,0,5.277715585999893,attack,passed,0.04016393442622951,-4.838859077581767,508.4506358653931
none,none,-1,0.13700006740939444,give_way,13.148845819713706,3940.658296914297,115,10.0,2,1,close_quarters,52.67,2014.1983804894562,7,overtaking,13,54.052187704899,9.790467100112355,0.293795752199088,1,8.8166684478763,195,4.786667849168494,1480.7149666148132,10139.168715057745,5856.995727617903,5856.995727617903,0.06578947368421052,0.34782608695652173,overtaking,-8.80968265843409,-0.13317516015479083,10.37153238729148,2.2246294166550955,17.755432372206858,45.24250504646489,115,22,0,0,0,0,5.634553193088569,attack,passed,0.055263157894736833,10.203305482853319,1418.7204206771519
none,none,-1,0.7016818271033458,stand_on,-64.43434140219244,5773.574130353149,61,10.0,0,1,close_quarters,54.02,2357.0997049824155,0,overtaken,48,40.07788034136007,3.6189040617633834,0.4470643211819175,1,7.101381865141942,135,39.779557059152125,981.9523900810873,4331.842937736585,1108.9689375711766,5824.386688392792,0.025,0.6065573770491803,overtaken,14.874062965964004,-0.2527646797428006,-131.75363534859173,1.201816410216403,13.849013598640674,54.951943307324086,61,4,0,0,0,0,6.259575861348708,attack,passed,0.017499999999999998,-26.28394610087374,1179.886408660476
none,none,-1,0.3723727608882655,stand_on,,3985.210153910718,53,10.0,1,0,safe_passage,35.31,2546.038354732331,-1,none,182,34.88438527784537,4.17751863107946,0.13633964768045218,0,7.4463085811757495,71,164.45196051631743,2456.2782262249198,3946.543548023147,2650.891816648584,5858.287109955366,0.009615384615384616,0.3018867924528302,overtaken,-11.838429607548731,-0.2972222140029685,161.19500202861929,2.0322114198702517,19.354503663335798,23.045955670296635,53,0,0,0,0,0,7.74884998598837,attack,passed,0.0,-13.550396945035775,633.6172594316378
