automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,xte_mean
none,none,-1,0.37208479770024494,both_give_way,-11.179391043754128,1150.5340328207535,300,10.0,0,1,close_quarters,53.23,12831.794930909942,5,head_on,48,40.07788034136007,5.1661642161718415,0.3489874372749339,1,5.53267740045602,135,16.404546603731887,1263.1323373900798,16598.03220136806,5824.386688392792,5824.386688392792,0.038461538461538464,0.8866666666666667,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,300,42,0,0,0,0,5.4915660267074795,navigate,timeout,0.0,-107.58411538134571,992.52007008672
none,none,79,12.91485586972085,both_give_way,,167.1602928235494,79,10.0,1,0,safe_passage,37.16,8435.629349004259,-1,none,182,34.88438527784537,7.121315208778111,0.002538729816975577,0,7.237580349323972,71,298.1582970984874,8435.629349004259,5717.688475965938,5691.951344831546,5858.287109955366,0.05128205128205128,0.25949367088607594,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,79,0,0,0,1,0,6.621146853791457,navigate,destination,0.0,101.17704360744594,39.186746021738166
none,none,-1,0.2846311842272371,both_give_way,9.045328764036812,1826.868425196346,300,10.0,2,1,close_quarters,48.6,11704.236962916571,50,crossing_port,13,54.052187704899,7.17775656692883,0.02332287571677453,1,5.975441898037657,195,8.409618034941033,4659.582765005898,17926.32569411297,5856.995727617903,5856.995727617903,0.028428093645484948,0.81,head_on,176.47612693662637,-0.13317516015479083,-2.596993480134381,10.904120049463163,21.64088350639253,-129.47168535847462,300,28,0,0,0,0,7.789725271631234,navigate,timeout,0.0,-98.98011454115797,1133.5930892311508
none,none,-1,0.30935650094168066,give_way,-17.553333340287267,1425.1775008442087,300,10.0,0,1,close_quarters,54.37,10074.713057710549,10,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.4360883187855578,1,5.5474844970473605,135,18.85696861855777,988.9558815904212,16642.45349114208,5824.386688392792,5824.386688392792,0.038461538461538464,0.8816666666666667,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,300,51,0,0,0,0,5.4915660267074795,navigate,timeout,0.0,-117.01022803784164,1012.4494929081659
none,none,79,7.524054475004869,give_way,,167.1602928235494,79,10.0,1,0,safe_passage,44.81,5268.440467267898,-1,none,182,34.88438527784537,7.121315208778111,0.005878671048673082,0,7.237580349323972,71,64.9594690200992,5268.440467267898,5717.688475965938,5691.951344831546,5858.287109955366,0.05128205128205128,0.25949367088607594,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,79,0,0,0,1,0,6.621146853791457,navigate,destination,0.0,101.17704360744594,39.186746021738166
none,none,78,9.4504582732372,give_way,-3.8743983630198597,134.28039633062536,78,10.0,2,1,close_quarters,55.47,4181.659263843872,27,crossing_starboard,13,54.052187704899,7.17775656692883,0.024101714189019872,1,7.3501599519629295,195,61.950157307451654,4181.659263843872,5733.124762531085,5722.972273799033,5856.995727617903,0.07142857142857142,0.1858974358974359,crossing_starboard,72.38063468313182,-0.13317516015479083,-60.39729842407342,6.58947728002596,21.64088350639253,126.43282238803081,78,1,0,0,1,0,7.789725271631234,navigate,destination,0.0,100.92196313659218,28.04454687083882
none,none,-1,4.912995717396882,stand_on,1.8002604234876753,1826.7571605235798,71,10.0,0,2,domain_infringement,68.92,622.9875100447885,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.48573172849726975,2,5.86672835413944,135,6.439606665196933,622.9875100447885,4165.377131439002,4008.680049428267,5824.386688392792,0.07142857142857142,0.7816901408450704,crossing_port,-60.251874068072,-0.2527646797428006,54.29551728410556,2.5992293478995268,17.13347722920078,-20.173993726711917,71,65,1,0,0,0,5.4915660267074795,navigate,domain_violation,0.0,-67.91601916252316,282.0227682446063
none,none,79,10.459441207228702,stand_on,,167.1602928235494,79,10.0,1,0,safe_passage,27.84,6662.627660081145,-1,none,182,34.88438527784537,7.121315208778111,0.004454537118675654,0,7.237580349323972,71,514.4500715087677,6662.627660081145,5717.688475965938,5691.951344831546,5858.287109955366,0.05128205128205128,0.25949367088607594,crossing_port,-113.67685921509747,-0.2972222140029685,29.21292869368978,8.422560229739513,23.48596576538746,-78.79247393725211,79,0,0,0,1,0,6.621146853791457,navigate,destination,0.0,101.17704360744594,39.186746021738166
none,none,78,9.85751472087677,stand_on,,161.52554781711143,78,10.0,2,0,safe_passage,49.85,7780.526726642161,-1,none,13,54.052187704899,7.17775656692883,0.0031142942274871195,0,7.321128060332214,195,1.245394747726004,7780.526726642161,5710.479887059127,5697.857608117955,5856.995727617903,0.06493506493506493,0.24358974358974358,crossing_port,-107.61936531686818,-0.13317516015479083,38.73804408996887,8.730195283861825,21.64088350639253,-53.567177611969186,78,0,0,0,1,0,7.789725271631234,navigate,destination,0.0,101.68735417062084,28.258782545789938
none,none,68,2.473697043727043,give_way,8.40076358055891,142.75558234512425,68,10.0,0,1,close_quarters,41.04,2098.2934275656135,27,overtaking,48,40.07788034136007,8.928356092645075,0.02143017142678865,1,8.366536723818585,135,233.6583259004893,2098.2934275656135,5689.244972196639,5684.967394722424,5824.386688392792,0.14925373134328357,0.18382352941176472,overtaking,14.874062965964004,-0.2527646797428006,-17.294024807300552,2.390271168731141,13.849013598640674,54.951943307324086,68,2,0,0,1,0,4.451103264139253,navigate,destination,0.0,100.15291016475368,22.369964709291708
