automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,final_phase,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,max_xte_after_passing,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,recovery_time,resolution_time,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,t_clear,t_cpa,t_on_track,t_warning,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,unresolved,xte_final,xte_mean
none,none,-1,0.42257023056292836,both_give_way,7.449038743609061,0.0,132,10.0,0,1,close_quarters,40.0,7104.686256038744,clear,4,head_on,48,40.07788034136007,5.1661642161718415,0.391210439991481,1,842.3199355442014,8.209661920785122,135,338.50329209854743,1102.6920088604925,10836.75373543636,10039.488657232321,-1,1280.0,33624.386688392755,0.6221374045801527,0.7121212121212122,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,132,4,0,0,0,1320.0,790.0,-1,40.0,0,5.4915660267074795,attack,clear,0.3019083969465649,-20.378345266554575,0,231.4930626276901,400.15238168177274
none,none,-1,0.13133310374068968,both_give_way,,0.0,167,10.0,1,0,safe_passage,27.27,8627.019255295938,clear,-1,none,182,34.88438527784537,7.121315208778111,0.0014345849132746053,0,4058.2529244005163,7.979897468965376,71,298.1582970984874,8116.787581036211,13326.428773172178,11626.142904900194,-1,1670.0,33658.28710995538,0.2680722891566265,0.5449101796407185,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,167,0,0,0,0,1670.0,-1,-1,-1,0,6.621146853791457,attack,clear,0.05692771084337349,43.08042370517012,0,4058.2529244005163,2500.4553439577476
none,none,-1,0.7493474064083785,give_way,-11.313237198516187,0.0,136,10.0,0,1,close_quarters,52.04,5255.990466370029,clear,7,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.3298416194974683,1,1399.891432148849,8.240629187576328,135,46.00589675730163,1367.1024305225903,11207.255695103806,9779.213496589175,-1,1290.0,33624.386688392755,0.5666666666666667,0.6029411764705882,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,136,29,0,0,0,1360.0,800.0,-1,70.0,0,5.4915660267074795,attack,clear,0.2929629629629629,-6.872166196041306,0,1399.891432148849,433.1133285617723
none,none,203,5.855483492143799,give_way,42.737111363114835,0.0,203,10.0,1,2,domain_infringement,71.59,397.37010591164284,passing,23,crossing_starboard,182,34.88438527784537,7.121315208778111,0.6008869940400766,2,2876.471577027333,8.178960895468517,71,14.130335764909567,397.37010591164284,16603.29061780109,10536.885834240753,-1,-1,33658.28710995538,0.5173267326732673,0.6083743842364532,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,203,42,2,0,1,-1,1260.0,-1,230.0,0,6.621146853791457,attack,domain_violation,0.22178217821782176,167.08597245249848,0,2876.471577027333,758.1901786448447
none,none,112,1.916903009726235,stand_on,57.88272506767113,0.0,112,10.0,0,2,domain_infringement,60.18,370.9822101832044,passing,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.5688752128298401,2,2134.520325336118,7.875973698778496,135,175.95609666309562,370.9822101832044,8821.090542631915,5610.776453987822,-1,-1,33624.386688392755,0.25225225225225223,0.5178571428571429,crossing_port,-60.251874068072,-0.2527646797428006,54.29551728410556,2.5992293478995268,17.13347722920078,-20.173993726711917,112,41,2,0,1,-1,630.0,-1,0.0,0,5.4915660267074795,attack,domain_violation,0.06306306306306306,116.42862080874733,0,2134.520325336118,838.4197589989241
none,none,-1,0.08658465780426923,stand_on,,0.0,102,10.0,1,0,safe_passage,17.87,9391.057277414335,clear,-1,none,182,34.88438527784537,7.121315208778111,0.0007095014173443446,0,5424.464561303162,7.761884680687095,71,514.4500715087677,8917.153620440627,7917.122374300838,4769.103983388799,-1,1020.0,33658.28710995538,0.08415841584158416,0.5735294117647058,crossing_port,-113.67685921509747,-0.2972222140029685,29.21292869368978,8.422560229739513,23.48596576538746,-78.79247393725211,102,0,0,0,0,1020.0,-1,-1,-1,0,6.621146853791457,attack,clear,0.017326732673267325,0.28343860352085315,0,5424.464561303162,2191.098262063255
none,none,-1,0.2217537506541248,give_way,6.2341686427015155,0.0,239,10.0,0,1,close_quarters,57.56,4729.714195752112,clear,4,overtaking,48,40.07788034136007,8.928356092645075,0.611520107836171,1,1136.4215267193133,8.107562590206635,135,3.8491376935630357,573.5082494421025,19377.074590593857,19280.43907375633,-1,2350.0,33624.386688392755,0.06092436974789916,0.0502092050209205,overtaking,14.874062965964004,-0.2527646797428006,-17.294024807300552,2.390271168731141,13.849013598640674,54.951943307324086,239,92,0,0,0,2390.0,1050.0,-1,40.0,0,4.451103264139253,attack,clear,0.03676470588235294,-50.2619260398986,0,1136.4215267193133,848.3246240261051
none,none,-1,0.07187194818257012,give_way,-13.262191287560109,0.0,359,10.0,1,1,close_quarters,50.2,4371.024597538297,clear,78,overtaking,182,34.88438527784537,9.76627794661919,0.30029748342405066,1,2646.0855601705375,8.446891689058214,71,62.661200776704504,1480.4707744576394,30324.341163718986,27674.246457120535,-1,2810.0,33658.28710995538,0.22625698324022347,0.26323119777158777,overtaking,-11.838429607548731,-0.2972222140029685,6.61619030528383,3.0497662404866,19.354503663335798,23.045955670296635,359,28,0,0,0,3590.0,1460.0,-1,780.0,0,5.277715585999893,attack,clear,0.06061452513966479,-27.51089985544092,0,980.5033128129711,776.3857568002189
none,none,54,3.0724048572122795,stand_on,-16.411016405882865,0.0,54,10.0,0,2,domain_infringement,65.88,661.0827433420892,action,0,overtaken,48,40.07788034136007,3.6189040617633834,0.3921131207865899,2,0.0,4.523813632560966,135,9.395644820208625,661.0827433420892,2442.859361582922,2271.06396619618,-1,-1,33624.386688392755,0.330188679245283,0.16666666666666666,overtaken,14.874062965964004,-0.2527646797428006,-131.75363534859173,1.201816410216403,13.849013598640674,54.951943307324086,54,53,2,0,1,-1,-1,-1,0.0,0,6.259575861348708,attack,domain_violation,0.23113207547169812,76.58109959407652,0,773.8016587124577,256.5871845258734
none,none,70,1.0405001760346635,stand_on,35.86618442356139,0.0,70,10.0,1,2,domain_infringement,66.99,595.8796674705158,action,10,overtaken,182,34.88438527784537,4.17751863107946,0.6086131046117241,2,0.0,3.8212862400154823,71,11.955029049157844,595.8796674705158,2674.9003680108376,2331.36930336654,-1,-1,33658.28710995538,0.12318840579710146,0.9357142857142857,overtaken,-11.838429607548731,-0.2972222140029685,161.19500202861929,2.0322114198702517,19.354503663335798,23.045955670296635,70,59,2,0,1,-1,-1,-1,100.0,0,7.74884998598837,attack,domain_violation,0.086231884057971,94.95660552435079,0,823.1191121548808,206.91167977456985
none,none,60,12.1052080914077,stand_on,25.558793644467194,0.0,60,10.0,0,2,domain_infringement,75.51,736.4080372708282,action,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.5710018066037994,2,0.0,7.319729710630215,135,9.061584292280639,736.4080372708282,4391.837826378129,4269.626282690936,-1,-1,33624.386688392755,1.0423728813559323,0.7333333333333333,data,,,,,,,60,44,2,0,1,-1,-1,-1,0.0,0,3.678797507411181,attack,domain_violation,0.41525423728813554,133.4718896668136,0,727.2933053910878,389.1373885441197
none,none,81,6.159819810256448,give_way,1.413939198078525,0.0,81,10.0,1,2,domain_infringement,69.63,454.1711508935278,action,8,crossing_starboard,183,49.79135122730751,3.551078736333993,0.6359546725203086,2,0.0,6.735282698924931,199,78.86834660582164,454.1711508935278,5455.578986129194,4754.4861593181395,-1,-1,33633.20149084063,0.54375,0.6358024691358025,data,,,,,,,81,41,2,0,1,-1,-1,-1,80.0,0,2.827487299251865,attack,domain_violation,0.1575,144.23876883447937,0,2124.7806333888498,972.8471526723886
manual,manual,-1,0.42257023056292836,both_give_way,7.449038743609061,0.0,132,10.0,0,1,close_quarters,40.0,7104.686256038744,clear,4,head_on,48,40.07788034136007,5.1661642161718415,0.391210439991481,1,842.3199355442014,8.209661920785122,135,338.50329209854743,1102.6920088604925,10836.75373543636,10039.488657232321,-1,1280.0,33624.386688392755,0.6221374045801527,0.7121212121212122,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,132,4,0,0,0,1320.0,790.0,-1,40.0,0,5.4915660267074795,attack,clear,0.3019083969465649,-20.378345266554575,0,231.4930626276901,400.15238168177274
